City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
kruisfontein,-34.0033,24.7314,58.44,71,6,6.91,ZA,1651800879
brigham city,41.5102,-112.0155,72.86,26,0,7.0,US,1651800879
mataura,-46.1927,168.8643,64.24,61,100,2.3,NZ,1651800880
avarua,-21.2078,-159.775,82.45,69,20,6.91,CK,1651800880
kendari,-3.945,122.4989,86.27,68,16,1.66,ID,1651800881
fukumitsu,36.55,136.8667,79.66,28,100,1.99,JP,1651800881
lagoa,39.05,-27.9833,61.92,86,100,29.24,PT,1651800881
kuching,1.55,110.3333,82.62,89,20,0.0,MY,1651800882
albany,42.6001,-73.9662,56.26,60,100,4.74,US,1651800767
fort nelson,58.8053,-122.7002,54.99,22,75,6.91,CA,1651800882
port alfred,-33.5906,26.891,68.79,51,0,10.16,ZA,1651800883
codrington,-38.2667,141.9667,50.72,88,100,11.1,AU,1651800883
fortuna,40.5982,-124.1573,62.1,83,75,12.66,US,1651800883
cape town,-33.9258,18.4232,59.11,93,68,5.75,ZA,1651800884
jamestown,42.097,-79.2353,56.84,62,0,6.91,US,1651800884
vaini,-21.2,-175.2,80.76,78,75,10.36,TO,1651800885
lima duarte,-21.8425,-43.7931,59.5,76,0,3.62,BR,1651800885
eidfjord,60.4675,7.0719,43.2,94,99,2.73,NO,1651800886
eyl,7.9803,49.8164,81.61,87,34,9.98,SO,1651800886
bredasdorp,-34.5322,20.0403,56.8,94,10,5.08,ZA,1651800886
unye,0.0,0.0,0.0,0,0,0.0,0,0
ternate,0.8,127.4,84.2,75,71,3.76,ID,1651800887
faanui,-16.4833,-151.75,81.64,70,100,7.7,PF,1651800887
vyartsilya,62.1764,30.693,36.99,81,100,5.99,RU,1651800888
rikitea,-23.1203,-134.9692,77.99,85,80,16.42,PF,1651800888
kiunga,-6.1219,141.2906,89.2,57,58,2.75,PG,1651800888
naze,28.3667,129.4833,72.52,93,99,14.63,JP,1651800889
denpasar,-8.65,115.2167,85.71,79,20,5.75,ID,1651800889
san patricio,28.017,-97.5169,84.54,83,17,6.51,US,1651800890
hermanus,-34.4187,19.2345,58.51,91,36,7.45,ZA,1651800890
aykhal,66.0,111.5,34.52,92,100,16.93,RU,1651800891
dikson,73.5069,80.5464,17.6,91,100,22.79,RU,1651800598
asyut,27.181,31.1837,62.91,45,0,11.97,EG,1651800891
ilulissat,69.2167,-51.1,21.22,58,3,2.3,GL,1651800884
margate,51.3813,1.3862,53.69,78,22,1.99,GB,1651800836
puerto ayora,-0.7393,-90.3518,73.17,94,100,6.17,EC,1651800892
moose factory,51.2585,-80.6094,28.4,80,100,5.75,CA,1651800892
yar-sale,66.8333,70.8333,20.62,79,88,13.71,RU,1651800892
atuona,-9.8,-139.0333,79.07,75,100,15.19,PF,1651800893
eureka,40.8021,-124.1637,62.37,79,100,3.0,US,1651800464
sao joao da barra,-21.6403,-41.0511,72.3,84,7,12.73,BR,1651800893
barrow,71.2906,-156.7887,17.62,79,100,17.27,US,1651800894
aktash,50.3,87.7333,42.87,60,100,1.59,RU,1651800894
comodoro rivadavia,-45.8667,-67.5,55.26,38,0,25.32,AR,1651800601
qaanaaq,77.484,-69.3632,12.11,76,13,7.49,GL,1651800634
usinsk,65.9939,57.5281,23.2,69,57,11.25,RU,1651800895
ushuaia,-54.8,-68.3,37.81,98,82,11.36,AR,1651800895
busselton,-33.65,115.3333,60.85,53,0,13.42,AU,1651800896
hendek,40.7994,30.7481,46.63,98,71,2.04,TR,1651800896
yekaterinogradskaya,43.7635,44.2317,50.5,97,100,6.67,RU,1651800896
georgetown,5.4112,100.3354,85.95,83,20,5.99,MY,1651800897
manta,-0.95,-80.7333,76.78,94,100,2.3,EC,1651800897
alofi,-19.0595,-169.9187,84.09,70,15,6.91,NU,1651800898
